clave provincinombre establecimiento                                           localidad                              tipo organización
4053PP0739    ESCUELA HOGAR BELGRANO                                           JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4053PP1084    ESCUELA SAN IGNACIO                                              JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4053PP1327    HOGAR ESCUELA SAN MIGUEL                                         JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4053PP1759    ESCUELA SAN JORGE                                                JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4053PP5962    COLEGIO NUESTRA SEÑORA DE LUJAN                                  JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4053PP9001    DAILAN KIFKI SCHOOL                                              JUNIN                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055BS7070    INFANCIA 2000                                                    BENAVIDEZ                              ESCUELA SECUNDARIA BÁSICA
4055BS7085    COLEGIO DON TORCUATO                                             DON TORCUATO                           ESCUELA SECUNDARIA BÁSICA
4055EE1891    ESCUELA ESPECIAL MELODÍA                                         BENAVIDEZ                              ESCUELA DE EDUCACIÓN ESPECIAL
4055EE1891    ESCUELA ESPECIAL MELODÍA                                         BENAVIDEZ                              ESCUELA DE EDUCACIÓN ESPECIAL
4055EE3922    ESCUELA ESPECIAL NUESTRA SRA.DE LUJAN                            BENAVIDEZ                              ESCUELA DE EDUCACIÓN ESPECIAL
4055EE3922    ESCUELA ESPECIAL NUESTRA SRA.DE LUJAN                            BENAVIDEZ                              ESCUELA DE EDUCACIÓN ESPECIAL
4055EE6119    ESCUELA ESPECIAL CASA VERDE                                      GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE6119    ESCUELA ESPECIAL CASA VERDE                                      GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE6119    ESCUELA ESPECIAL CASA VERDE                                      GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE6119    ESCUELA ESPECIAL CASA VERDE                                      GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE8338    H. C. ANDERSEN                                                   GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE8338    H. C. ANDERSEN                                                   GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE8338    H. C. ANDERSEN                                                   GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EE8338    H. C. ANDERSEN                                                   GENERAL PACHECO                        ESCUELA DE EDUCACIÓN ESPECIAL
4055EL2731    C.F.L. NºUN LUGAR.... S.R.L.                                     DON TORCUATO                           CENTRO DE FORMACIÓN LABORAL
4055EL2731    C.F.L. NºUN LUGAR.... S.R.L.                                     DON TORCUATO                           CENTRO DE FORMACIÓN LABORAL
4055EL2731    C.F.L. NºUN LUGAR.... S.R.L.                                     DON TORCUATO                           CENTRO DE FORMACIÓN LABORAL
4055EL2731    C.F.L. NºUN LUGAR.... S.R.L.                                     DON TORCUATO                           CENTRO DE FORMACIÓN LABORAL
4055IS4353    INSTITUTO SANTA ANA                                              GENERAL PACHECO                        INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4055IS7494    INSTITUTO SUPERIOR EL DEVENIR                                    DON TORCUATO                           INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4055IS7552    INSTITUTO MARCOS SASTRE                                          TIGRE                                  INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4055IS8331    I. S. F. D. Y T. ANDERSEN                                        TIGRE                                  INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4055IS9002    HOLOS SANCHEZ BODAS                                              BENAVIDEZ                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4055JI1431    JARDIN DE INFANTES EL HORNERITO                                  DON TORCUATO                           JARDÍN DE INFANTES
4055JI1624    JARDIN DE INFANTES LA ARDILLITA                                  EL TALAR                               JARDÍN DE INFANTES
4055JI1625    JARDIN DE INFANTES MI MOLINO                                     GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI1656    JARDIN DE INFANTES TALLER DE NIÑAS SAN JOSE                      TIGRE                                  JARDÍN DE INFANTES
4055JI1669    JARDIN DE INFANTES SAN RAMON                                     TIGRE                                  JARDÍN DE INFANTES
4055JI1691    JARDIN DE INFANTES COLORIN COLORADO                              GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI1739    JARDIN DE INFANTES TERRY                                         EL TALAR                               JARDÍN DE INFANTES
4055JI1832    JARDIN DE INFANTES STA. ANGELA                                   RINCON DE MILBERG                      JARDÍN DE INFANTES
4055JI1935    JARDIN DE INFANTES SAN MARCELO                                   DON TORCUATO                           JARDÍN DE INFANTES
4055JI2010    JARDIN DE INFANTES MANUELITA (DENO 2010)                         GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI2014    JARDIN DE INFANTES MARIANO MORENO                                GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI2015    JARDIN DE INFANTES FERNANDO FADER (DIEGEP 2015)                  LOS TRONCOS DEL TALAR                  JARDÍN DE INFANTES
4055JI2120    JARDIN DE INFANTES ESTRELLITAS                                   LOS TRONCOS DEL TALAR                  JARDÍN DE INFANTES
4055JI2179    JARDIN DE INFANTES MICKEY                                        EL TALAR                               JARDÍN DE INFANTES
4055JI2195    JARDIN DE INFANTES CHALTEL                                       DON TORCUATO                           JARDÍN DE INFANTES
4055JI2551    JARDIN DE INFANTES DEL SOL                                       GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI2605    JARDIN DE INFANTES ACUARELA DIEGEP 2605 (NI)                     EL TALAR                               JARDÍN DE INFANTES
4055JI2751    JARDIN DE INFANTES SAN FRANCISCO                                 TIGRE                                  JARDÍN DE INFANTES
4055JI2811    JARDIN DE INFANTES INFANCIA 2000                                 BENAVIDEZ                              JARDÍN DE INFANTES
4055JI2868    JARDIN DE INFANTES SANTA ANA                                     GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI2912    JARDIN DE INFANTES NUESTRA SEÑORA DE LUJAN                       DON TORCUATO                           JARDÍN DE INFANTES
4055JI2972    JARDIN DE INFANTES NUESTRA SEÑORA DEL VALLE                      DON TORCUATO                           JARDÍN DE INFANTES
4055JI3078    JARDIN EZEQUIEL MARTINEZ ESTRADA                                 BENAVIDEZ                              JARDÍN DE INFANTES
4055JI3081    JARDIN DE INFANTES NIÑO DIOS                                     RINCON DE MILBERG                      JARDÍN DE INFANTES
4055JI3499    COLEGIO A DESCUBRIR                                              BENAVIDEZ                              JARDÍN DE INFANTES
4055JI3552    JARDIN DE INFANTES EL TALARCITO                                  EL TALAR                               JARDÍN DE INFANTES
4055JI3609    JARDIN DE INFANTES ALMAFUERTE                                    BENAVIDEZ                              JARDÍN DE INFANTES
4055JI5217    JARDIN DE INFANTES NUESTRA SEÑORA DEL CARMEN                     BENAVIDEZ                              JARDÍN DE INFANTES
4055JI5296    JARDIN DE INFANTES PEQUEÑO MUNDO                                 DON TORCUATO                           JARDÍN DE INFANTES
4055JI5297    JARDIN DE INFANTES MI JARDIN                                     GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI5460    JARDIN DE INFANTES Y MATERNAL PUEBLO NIÑO                        DESCONOCIDO                            JARDÍN DE INFANTES
4055JI5551    JARDIN DE INFANTES SAN LUCAS                                     DON TORCUATO                           JARDÍN DE INFANTES
4055JI5806    JARDIN DE INFANTES SAN MARTIN DE PORRES                          RINCON DE MILBERG                      JARDÍN DE INFANTES
4055JI5868    JARDIN DE INFANTES FRANCISCO DE ASIS                             TIGRE                                  JARDÍN DE INFANTES
4055JI5878    JARDIN DE INFANTES SAN CAYETANO                                  BENAVIDEZ                              JARDÍN DE INFANTES
4055JI5930    JARDIN DE INFANTES PACHECO                                       GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI5949    JARDIN DE INFANTES LOS TILOS                                     LOS TRONCOS DEL TALAR                  JARDÍN DE INFANTES
4055JI6044    JARDIN DE INFANTES FABULINOS                                     GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI6056    SANTA CECILIA                                                    TIGRE                                  JARDÍN DE INFANTES
4055JI6058    INSTITUTO CARDENAL PIRONIO                                       TIGRE                                  JARDÍN DE INFANTES
4055JI6202    INSTITUTO EL PORTAL DE BELEN                                     GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI6228    JARDIN DE INFANTES DEL NORTE                                     BENAVIDEZ                              JARDÍN DE INFANTES
4055JI6433    SANTA TERESA                                                     TIGRE                                  JARDÍN DE INFANTES
4055JI6496    INSTITUTO HANS CHRISTIAN ANDERSEN                                GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI6620    COLEGIO DE LOS PEREGRINOS                                        LOS TRONCOS DEL TALAR                  JARDÍN DE INFANTES
4055JI7633    JARDIN DE INFANTES SANTA CLARA                                   DON TORCUATO                           JARDÍN DE INFANTES
4055JI7635    INSTITUTO SAN FRANCISCO DE LA PAZ                                TIGRE                                  JARDÍN DE INFANTES
4055JI7663    COLEGIO SAN LUCAS NORDELTA                                       TIGRE                                  JARDÍN DE INFANTES
4055JI7674    EL PORTAL DEL NORTE                                              BENAVIDEZ                              JARDÍN DE INFANTES
4055JI7675    JARDIN LOS GIRASOLES                                             DON TORCUATO                           JARDÍN DE INFANTES
4055JI7741    JARDÍN DE INFANTES                                               TIGRE                                  JARDÍN DE INFANTES
4055JI7891    COLEGIO SAN MARTIN                                               DON TORCUATO                           JARDÍN DE INFANTES
4055JI8265    JARDIN MATERNAL Y DE INFANTES SAN ISIDRO                         BENAVIDEZ                              JARDÍN DE INFANTES
4055JI8273    JARDIN SAN PEDRO                                                 LOS TRONCOS DEL TALAR                  JARDÍN DE INFANTES
4055JI8335    COLEGIO CAMPO DE NORTE NORDELTA                                  TIGRE                                  JARDÍN DE INFANTES
4055JI8382    EL JARDÍN DE CHICHI                                              GENERAL PACHECO                        JARDÍN DE INFANTES
4055JI9008    COLEGIO DE LA RECONQUISTA                                        TIGRE                                  JARDÍN DE INFANTES
4055JI9010    JARDIN MONTESSORI                                                BENAVIDEZ                              JARDÍN DE INFANTES
4055JM8221    JARDIN MATERNAL BABAR NIÑOS                                      DON TORCUATO                           JARDÍN MATERNAL
4055JM9000    JARDÍN MATERNAL Y DE NIÑOS ALDEA DE NIÑOS                        EL TALAR                               JARDÍN MATERNAL
4055JU7409    JARDIN COMUNITARIO CASA DEL NIÑO AMANECER                        TIGRE                                  JARDÍN COMUNITARIO
4055JU7410    JARDÍN DE INFANTES MARÍA DE GUADALUPE                            TIGRE                                  JARDÍN COMUNITARIO
4055MM4362    INSTITUTO FERNANDO FADER                                         TIGRE                                  ESCUELA DE EDUCACIÓN MEDIA
4055MM4997    INSTITUTO SAN PEDRO CLAVER                                       RICARDO ROJAS                          ESCUELA DE EDUCACIÓN MEDIA
4055MM5289    COLEGIO DON TORCUATO                                             DON TORCUATO                           ESCUELA DE EDUCACIÓN MEDIA
4055MM6065    INSTITUTO EL TELAR                                               DON TORCUATO                           ESCUELA DE EDUCACIÓN MEDIA
4055MS2627    COLEGIO SAN MARTIN                                               DON TORCUATO                           ESCUELA SECUNDARIA
4055MS2889    COLEGIO DE LA RECONQUISTA                                        TIGRE                                  ESCUELA SECUNDARIA
4055MS4347    INSTITUTO JOSE MANUEL ESTRADA                                    DON TORCUATO                           ESCUELA SECUNDARIA
4055MS4348    INSTITUTO GENERAL PACHECO                                        GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS4349    INSTITUTO MARIANO MORENO                                         GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS4351    COLEGIO SANTA TERESA                                             TIGRE                                  ESCUELA SECUNDARIA
4055MS4352    INSTITUTO MARCELO TORCUATO DE ALVEAR                             DON TORCUATO                           ESCUELA SECUNDARIA
4055MS4354    INSTITUTO EZEQUIEL MARTINEZ ESTRADA                              BENAVIDEZ                              ESCUELA SECUNDARIA
4055MS4355    INSTITUTO SAN MARCELO                                            DON TORCUATO                           ESCUELA SECUNDARIA
4055MS4357    INSTITUTO CHALTEL                                                DON TORCUATO                           ESCUELA SECUNDARIA
4055MS4359    INSTITUTO SAN RAMON                                              TIGRE                                  ESCUELA SECUNDARIA
4055MS5525    COLEGIO BABAR                                                    DON TORCUATO                           ESCUELA SECUNDARIA
4055MS5749    INSTITUTO DEL SOL                                                GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS5764    COLEGIO SAN FELIPE APOSTOL                                       DON TORCUATO                           ESCUELA SECUNDARIA
4055MS6103    ESCUELA DE ARTE Y OFICIO DON ORIONE                              TIGRE                                  ESCUELA SECUNDARIA
4055MS6203    COLEGIO NUESTRAS RAICES                                          TIGRE                                  ESCUELA SECUNDARIA
4055MS6273    COLEGIO JUSTO JOSE DE URQUIZA                                    BENAVIDEZ                              ESCUELA SECUNDARIA
4055MS7062    EL TALAR                                                         EL TALAR                               ESCUELA SECUNDARIA
4055MS7077    COLEGIO SAN MARCOS                                               EL TALAR                               ESCUELA SECUNDARIA
4055MS7084    ESCUELA HOGAR DON ORIONE                                         TIGRE                                  ESCUELA SECUNDARIA
4055MS7086    INSTITUTO SAN JOSE                                               TIGRE                                  ESCUELA SECUNDARIA
4055MS7087    COLEGIO SAN JORGE                                                GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7384    COLEGIO SWORN DE PACHECO                                         GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7744    COLEGIO DE LOS PEREGRINOS                                        LOS TRONCOS DEL TALAR                  ESCUELA SECUNDARIA
4055MS7821    LA CONCEPCION                                                    TIGRE                                  ESCUELA SECUNDARIA
4055MS7822    INSTITUTO JOSE HERNANDEZ                                         DON TORCUATO                           ESCUELA SECUNDARIA
4055MS7823    COLEGIO PUEBLO EDUCATIVO                                         GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7824    COLEGIO DE LAS AMERICAS                                          DON TORCUATO                           ESCUELA SECUNDARIA
4055MS7825    COLEGIO HANS CHRISTIAN ANDERSEN                                  GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7826    COLEGIO DEL NORTE NORDELTA                                       TIGRE                                  ESCUELA SECUNDARIA
4055MS7827    INSTITUTO PRIVADO SAN ANTONIO                                    GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7828    COLEGIO XUL SOLAR                                                GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7829    COLEGIO SANTA JULIA                                              GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS7830    COLEGIO CARDENAL PIRONIO                                         TIGRE                                  ESCUELA SECUNDARIA
4055MS8132    COLEGIO MIGUEL HAM NORDELTA                                      TIGRE                                  ESCUELA SECUNDARIA
4055MS8288    COLEGIO ANTONIO BERNI                                            GENERAL PACHECO                        ESCUELA SECUNDARIA
4055MS8337    COLEGIO CAMPO DE NORTE NORDELTA                                  NORDELTA                               ESCUELA SECUNDARIA
4055MS8352    COLEGIO SAN LUCAS NORDELTA                                       TIGRE                                  ESCUELA SECUNDARIA
4055MS8356    ESCUELA SECUNDARIA SAN FRANCISCO DE LA PAZ                       BENAVIDEZ                              ESCUELA SECUNDARIA
4055MS9000    SAN ISIDRO DELTA                                                 BENAVIDEZ                              ESCUELA SECUNDARIA
4055MT4364    INSTITUTO SANTA ANA                                              GENERAL PACHECO                        ESCUELA TÉCNICA
4055MT4364    INSTITUTO SANTA ANA                                              GENERAL PACHECO                        ESCUELA TÉCNICA
4055MT4931    ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA HENRY FORD               RICARDO ROJAS                          ESCUELA TÉCNICA
4055MT8318    COLEGIO SECUNDARIO TÉCNICO MARÍA DE GUADALUPE                    LAS TUNAS                              ESCUELA TÉCNICA
4055PP0557    ESCUELA DON ORIONE                                               TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0557    ESCUELA DON ORIONE                                               TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0558    INSTITUTO MARIANO MORENO                                         GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0559    COLEGIO SAN MARCELO                                              DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0560    COLEGIO SAN MARTIN                                               DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0561    COLEGIO SANTA TERESA                                             TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0562    INSTITUTO SAN JOSE                                               TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0765    INSTITUTO MARCELO TORCUATO DE ALVEAR                             DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0889    ESCUELA LA CONCEPCION                                            TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP0889    ESCUELA LA CONCEPCION                                            TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1036    INSTITUTO GENERAL PACHECO                                        EL TALAR                               ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1047    COLEGIO DE LAS AMERICAS                                          DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1047    COLEGIO DE LAS AMERICAS                                          DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1167    COLEGIO EXPEDICIONARIOS AL DESIERTO                              GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1168    INSTITUTO EZEQUIEL MARTINEZ ESTRADA                              BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1188    ESCUELA FERNANDO FADER                                           LOS TRONCOS DEL TALAR                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1626    COLEGIO SANTA ANA                                                GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1950    INSTITUTO SAN RAMON                                              TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP1953    COLEGIO CHALTEL                                                  DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2018    INSTITUTO JOSE HERNANDEZ                                         DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2018    INSTITUTO JOSE HERNANDEZ                                         DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2314    COLEGIO DON TORCUATO                                             DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2314    COLEGIO DON TORCUATO                                             DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2513    COLEGIO XUL SOLAR                                                GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2568    COLEGIO DE LA RECONQUISTA                                        TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2666    COLEGIO SAN MARCOS                                               EL TALAR                               ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2666    COLEGIO SAN MARCOS                                               EL TALAR                               ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2683    COLEGIO DEL SOL                                                  GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2710    COLEGIO SAN JORGE                                                GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2710    COLEGIO SAN JORGE                                                GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2759    COLEGIO BABAR                                                    TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2759    COLEGIO BABAR                                                    TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2776    INSTITUTO SAN ANTONIO                                            GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP2822    ESCUELA INFANCIA 2000                                            BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP3230    INSTITUTO PRIMARIO AYELEN                                        EL TALAR                               ESCUELA DE EDUCACIÓN PRIMARIA
4055PP3476    COLEGIO SAN FELIPE APOSTOL                                       DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP3476    COLEGIO SAN FELIPE APOSTOL                                       DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP3600    COLEGIO ALMAFUERTE                                               BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP3845    COLEGIO A DESCUBRIR                                              BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP5351    INSTITUTO JOSE MANUEL ESTRADA                                    DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4055PP5676    COLEGIO SWORN DE PACHECO                                         GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP5833    COLEGIO SANTA JULIA                                              GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6057    COLEGIO PUEBLO EDUCATIVO                                         GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6101    COLEGIO DE LOS PEREGRINOS                                        LOS TRONCOS DEL TALAR                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6135    HANS CHRISTIAN ANDERSEN                                          GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6140    INSTITUTO CARDENAL PIRONIO                                       DESCONOCIDO                            ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6195    COLEGIO NUESTRAS RAICES                                          TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6195    COLEGIO NUESTRAS RAICES                                          TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6200    COLEGIO DEL NORTE NORDELTA                                       BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP6238    INSTITUTO ANTONIO BERNI                                          GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP7740    COLEGIO MICHAEL HAM NORDELTA                                     TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP7946    COLEGIO SAN LUCAS                                                TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP7951    COLEGIO MARIA GUADALUPE                                          GENERAL PACHECO                        ESCUELA DE EDUCACIÓN PRIMARIA
4055PP8321    COLEGIO SAN ISIDRO                                               BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP8336    COLEGIO CAMPO DE NORTE NORDELTA                                  BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP8372    ESCUELA DE ARTES Y OFICIOS DON ORIONE                            TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP8425    COLEGIO SAN PEDRO                                                LOS TRONCOS DEL TALAR                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP8431    EL PORTAL DEL NORTE                                              TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP9002    ESCUELA MONTESSORI DE TIGRE                                      BENAVIDEZ                              ESCUELA DE EDUCACIÓN PRIMARIA
4055PP9016    INSTITUTO SAN FRANCISCO DE LA PAZ                                TIGRE                                  ESCUELA DE EDUCACIÓN PRIMARIA
4055PP9017    COLEGIO CRISTIANO SAN LUCAS                                      DON TORCUATO                           ESCUELA DE EDUCACIÓN PRIMARIA
4056JI2275    JARDIN DE INFANTES BELEN                                         LAS FLORES                             JARDÍN DE INFANTES
4056MS3913    ESCUELA DANTE ALIGHIERI                                          LAS FLORES                             ESCUELA SECUNDARIA
4056MS4367    INSTITUTO SAN MIGUEL                                             LAS FLORES                             ESCUELA SECUNDARIA
4056PP0292    COLEGIO CATOLICO SAN MIGUEL                                      LAS FLORES                             ESCUELA DE EDUCACIÓN PRIMARIA
4056PP7326    DANTE ALIGHIERI                                                  LAS FLORES                             ESCUELA DE EDUCACIÓN PRIMARIA
4057JI6507    JARDIN DE INFANTES H. PORDOMINGO                                 GENERAL LAS HERAS                      JARDÍN DE INFANTES
4057MS4368    INSTITUTO SAN LUIS GONZAGA                                       GENERAL LAS HERAS                      ESCUELA SECUNDARIA
4057PP0178    COLEGIO SAN LUIS GONZAGA                                         GENERAL LAS HERAS                      ESCUELA DE EDUCACIÓN PRIMARIA
4057PP5662    INSTITUTO LAS HERAS                                              GENERAL LAS HERAS                      ESCUELA DE EDUCACIÓN PRIMARIA
4057PP5662    INSTITUTO LAS HERAS                                              GENERAL LAS HERAS                      ESCUELA DE EDUCACIÓN PRIMARIA
4058MA4756    INSTITUTO DR.HECTOR V.NOBLIA                                     VEDIA                                  ESCUELA AGRARIA
4059IS4373    INSTITUTO NUESTRA SEÑORA                                         LINCOLN                                INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
4059JI1544    JARDIN DE INFANTES NUESTRA SEÑORA                                LINCOLN                                JARDÍN DE INFANTES
4059JI1965    JARDIN DE INFANTES MONSEÑOR ANTONIO SURCE                        LINCOLN                                JARDÍN DE INFANTES
4059JI5453    JARDIN DEL ALBA                                                  LINCOLN                                JARDÍN DE INFANTES
4059MS4369    INSTITUTO NUESTRA SEÑORA                                         LINCOLN                                ESCUELA SECUNDARIA
4059MS4370    INSTITUTO JOSE MANUEL ESTRADA                                    ROBERTS                                ESCUELA SECUNDARIA
4059MS4371    INSTITUTO JUAN BAUTISTA ALBERDI                                  EL TRIUNFO                             ESCUELA SECUNDARIA
4059MS5417    ESCUELA DEL ALBA                                                 LINCOLN                                ESCUELA SECUNDARIA
4059MS6542    ESCUELA MONSEÑOR ANTONIO SURCE                                   LINCOLN                                ESCUELA SECUNDARIA
4059MS6839    HOGAR DE NAZARETH                                                LINCOLN                                ESCUELA SECUNDARIA
4059MS7790    ESCUELA VIRGEN NIÑA                                              LINCOLN                                ESCUELA SECUNDARIA
4059PP0295    HOGAR DE NAZARETH                                                LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4059PP0296    ESCUELA HOGAR VIRGEN NIÑA                                        LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4059PP0296    ESCUELA HOGAR VIRGEN NIÑA                                        LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4059PP0297    COLEGIO NUESTRA SEÑORA                                           LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4059PP1170    ESCUELA MONSEÑOR ANTONIO SURCE                                   LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4059PP2945    ESCUELA DEL ALBA                                                 LINCOLN                                ESCUELA DE EDUCACIÓN PRIMARIA
4060JI2226    JARDIN DE INFANTES DIVINA PASTORA                                LOBERIA                                JARDÍN DE INFANTES
4060MS4375    ESCUELA DE EDUCACIÓN SECUNDARIA NUESTRA SEÑORA DE FÁTIMA         SAN MANUEL                             ESCUELA SECUNDARIA
4060MS4376    ESCUELA DE EDUCACIÓN SECUNDARIA INSTITUTO CALASANCIO DIVINA PASTOLOBERIA                                ESCUELA SECUNDARIA
4060PP0298    COLEGIO JUSTA SILVIA MAYORA                                      LOBERIA                                ESCUELA DE EDUCACIÓN PRIMARIA
4060PP0299    COLEGIO NUESTRA SEÑORA DE FATIMA                                 SAN MANUEL                             ESCUELA DE EDUCACIÓN PRIMARIA
4060PP0299    COLEGIO NUESTRA SEÑORA DE FATIMA                                 SAN MANUEL                             ESCUELA DE EDUCACIÓN PRIMARIA
4061JI2278    JARDIN DE INFANTES NIÑO JESUS                                    LOBOS                                  JARDÍN DE INFANTES
4061JI9000    PEQUEÑO HORIZONTE DE LOBOS                                       LOBOS                                  JARDÍN DE INFANTES
4061MS4377    COLEGIO FASTA NIÑO JESUS                                         LOBOS                                  ESCUELA SECUNDARIA
