clave provincinombre establecimiento                                           localidad                              tipo organización
0001EE0529    ESCUELA ESPECIAL Nº529                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0529    ESCUELA ESPECIAL Nº529                                           MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0531    ESCUELA ESPECIAL Nº531                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0531    ESCUELA ESPECIAL Nº531                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0531    ESCUELA ESPECIAL Nº531                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0532    ESCUELA ESPECIAL Nº532 "ALFONSINA STORNI"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0532    ESCUELA ESPECIAL Nº532 "ALFONSINA STORNI"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0532    ESCUELA ESPECIAL Nº532 "ALFONSINA STORNI"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0532    ESCUELA ESPECIAL Nº532 "ALFONSINA STORNI"                        LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0533    ESCUELA ESPECIAL Nº533                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0533    ESCUELA ESPECIAL Nº533                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0533    ESCUELA ESPECIAL Nº533                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0534    ESCUELA ESPECIAL Nº534                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0534    ESCUELA ESPECIAL Nº534                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0534    ESCUELA ESPECIAL Nº534                                           LA PLATA                               ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0535    ESCUELA ESPECIAL Nº535 "JUANA AZURDUY"                           LOS HORNOS                             ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0535    ESCUELA ESPECIAL Nº535 "JUANA AZURDUY"                           LOS HORNOS                             ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0535    ESCUELA ESPECIAL Nº535 "JUANA AZURDUY"                           LOS HORNOS                             ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0535    ESCUELA ESPECIAL Nº535 "JUANA AZURDUY"                           LOS HORNOS                             ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0536    ESCUELA ESPECIAL Nº536                                           VILLA ELISA                            ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0536    ESCUELA ESPECIAL Nº536                                           VILLA ELISA                            ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0536    ESCUELA ESPECIAL Nº536                                           VILLA ELISA                            ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0536    ESCUELA ESPECIAL Nº536                                           VILLA ELISA                            ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0538    ESCUELA ESPECIAL Nº538                                           TOLOSA                                 ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0538    ESCUELA ESPECIAL Nº538                                           TOLOSA                                 ESCUELA DE EDUCACIÓN ESPECIAL
0001EE0538    ESCUELA ESPECIAL Nº538                                           TOLOSA                                 ESCUELA DE EDUCACIÓN ESPECIAL
0001EL0002    CENTRO DE FORMACION LABORAL Nº2                                  LA PLATA                               CENTRO DE FORMACIÓN LABORAL
0001EL0003    CENTRO DE FORMACION LABORAL Nº3 "RODOLFO J. WALSH"               MELCHOR ROMERO                         CENTRO DE FORMACIÓN LABORAL
0001ET0001    C.E.A.T. Nº1                                                     City Bell                              CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0001ET0041    C.E.A.T. Nº1                                                     ARTURO SEGUI                           CENTRO DE ESTIMULACIÓN Y APRENDIZAJES TEMPRANOS
0001IS0008    INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA Nº8            LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0009    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº9                      LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0012    INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TÉCNICA Nº12           LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0017    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº17                     LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0094    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº94 "R.T. SPERONI"      City Bell                              INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0095    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº95 "MARY O'GRAHAM"     LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0096    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº96 "DARDO ROCHA"       LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0097    INSTITUTO SUPERIOR DE FORMACION DOCENTE Nº97                     LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0210    INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA Nº210          LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0221    INSTITUTO SUPERIOR DE FORMACIÓN TÉCNICA N° 221                   LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001IS0312    EXTENSION DEL I.S.F.D Nº12 DE LA PLATA -UNIDAD PENITENCIARIA     LA PLATA                               INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA
0001JI0901    JARDIN DE INFANTES Nº901 "MANUEL BELGRANO"                       LA PLATA                               JARDÍN DE INFANTES
0001JI0902    JARDIN DE INFANTES Nº902 "MARTIN MIGUEL DE GÜEMES"               LA PLATA                               JARDÍN DE INFANTES
0001JI0903    JARDIN DE INFANTES Nº903 "GENERAL SAN MARTIN"                    LA PLATA                               JARDÍN DE INFANTES
0001JI0904    JARDIN DE INFANTES Nº904 "PAULA M. ALBARRACIN DE SARMIENTO"      LOS HORNOS                             JARDÍN DE INFANTES
0001JI0905    JARDIN DE INFANTES Nº905 "ALMAFUERTE"                            LA PLATA                               JARDÍN DE INFANTES
0001JI0906    JARDIN DE INFANTES Nº906 "FRANCISCO L. DE AGUIRRE BENGOA"        LA PLATA                               JARDÍN DE INFANTES
0001JI0907    JARDIN DE INFANTES Nº907 "MARIA LUISA ROQUES"                    MANUEL B. GONNET                       JARDÍN DE INFANTES
0001JI0908    JARDIN DE INFANTES Nº908 "ALBERTI SCHWEITZER"                    LA PLATA                               JARDÍN DE INFANTES
0001JI0909    JARDIN DE INFANTES Nº909 "CONRADO NALE ROXLO"                    LOS HORNOS                             JARDÍN DE INFANTES
0001JI0910    JARDIN DE INFANTES Nº910 "ALMIRANTE BROWN"                       TOLOSA                                 JARDÍN DE INFANTES
0001JI0911    JARDIN DE INFANTES Nº911 "GABRIELA MISTRAL"                      City Bell                              JARDÍN DE INFANTES
0001JI0912    JARDIN DE INFANTES Nº912 "RICARDO GUTIERREZ"                     LA PLATA                               JARDÍN DE INFANTES
0001JI0913    JARDIN DE INFANTES Nº913 "JUAN CRISTIAN ANDERSEN"                City Bell                              JARDÍN DE INFANTES
0001JI0914    JARDIN DE INFANTES Nº914 "PATRICIAS ARGENTINAS"                  LA PLATA                               JARDÍN DE INFANTES
0001JI0915    JARDIN DE INFANTES Nº915 "WALT DISNEY"                           LA PLATA                               JARDÍN DE INFANTES
0001JI0916    JARDIN DE INFANTES Nº916 "NOMEOLVIDES"                           LA PLATA                               JARDÍN DE INFANTES
0001JI0917    JARDIN DE INFANTES Nº917 "TAMBOR DE TACUARI"                     LA PLATA                               JARDÍN DE INFANTES
0001JI0918    JARDIN DE INFANTES Nº918 "DR. RENE FAVALORO"                     LA PLATA                               JARDÍN DE INFANTES
0001JI0919    JARDIN DE INFANTES Nº919 "COSTANCIO C. VIGIL"                    MANUEL B. GONNET                       JARDÍN DE INFANTES
0001JI0920    JARDIN DE INFANTES Nº920 "ALFONSINA STORNI"                      LA PLATA                               JARDÍN DE INFANTES
0001JI0921    JARDIN DE INFANTES Nº921 "JOSE SEBASTIAN TALLON"                 JOAQUIN GORINA                         JARDÍN DE INFANTES
0001JI0922    JARDIN DE INFANTES Nº922 "ROSARIO VERA PEÑALOZA"                 TOLOSA                                 JARDÍN DE INFANTES
0001JI0923    JARDIN DE INFANTES Nº923 "DR. ALBERT SABIN"                      RINGUELET                              JARDÍN DE INFANTES
0001JI0924    JARDIN DE INFANTES Nº924 "FLORENTINO AMEGHINO"                   ARTURO SEGUI                           JARDÍN DE INFANTES
0001JI0925    JARDIN DE INFANTES Nº925 "MARIA E. FIGUEROA"                     LA PLATA                               JARDÍN DE INFANTES
0001JI0926    JARDIN DE INFANTES Nº926 "VICENTE BARBIERI"                      MANUEL B. GONNET                       JARDÍN DE INFANTES
0001JI0927    JARDIN DE INFANTES Nº927 "ALFONSINA STORNI"                      LISANDRO OLMOS                         JARDÍN DE INFANTES
0001JI0928    JARDIN DE INFANTES Nº928 "MARIA EVA DUARTE DE PERON"             LA PLATA                               JARDÍN DE INFANTES
0001JI0929    JARDIN DE INFANTES Nº929 "LUIS PIEDRABUENA"                      LA PLATA                               JARDÍN DE INFANTES
0001JI0930    JARDIN DE INFANTES Nº930                                         ABASTO                                 JARDÍN DE INFANTES
0001JI0931    JARDIN DE INFANTES Nº931 "MARIANO MORENO"                        RINGUELET                              JARDÍN DE INFANTES
0001JI0932    JARDIN DE INFANTES Nº932 "JUAN VUCETICH"                         TOLOSA                                 JARDÍN DE INFANTES
0001JI0933    JARDIN DE INFANTES Nº933 "MARTIN FIERRO"                         City Bell                              JARDÍN DE INFANTES
0001JI0934    JARDIN DE INFANTES Nº934 "MERCEDITAS DE SAN MARTIN"              LA PLATA                               JARDÍN DE INFANTES
0001JI0936    JARDIN DE INFANTES Nº936 "FRYDA SCHULTZ DE MANTOVANI"            LA PLATA                               JARDÍN DE INFANTES
0001JI0937    JARDIN DE INFANTES Nº937 "MALVINAS ARGENTINA"                    VILLA ELISA                            JARDÍN DE INFANTES
0001JI0938    JARDIN DE INFANTES Nº938 "GREGORIA MATORRAS DE SAN MARTIN"       LA PLATA                               JARDÍN DE INFANTES
0001JI0939    JARDIN DE INFANTES Nº939 "REPUBLICA DEL ECUADOR"                 LA PLATA                               JARDÍN DE INFANTES
0001JI0940    JARDIN DE INFANTES Nº940 "GLADYS MABEL GUADIX"                   COLONIA URQUIZA                        JARDÍN DE INFANTES
0001JI0941    JARDIN DE INFANTES Nº941 "BERNARDINO RIVADAVIA"                  VILLA ELISA                            JARDÍN DE INFANTES
0001JI0942    JARDIN DE INFANTES Nº942 "DRA. CECILIA GRIERSON"                 City Bell                              JARDÍN DE INFANTES
0001JI0943    JARDIN DE INFANTES Nº943 "MINISTRO ZARINI"                       LA PLATA                               JARDÍN DE INFANTES
0001JI0944    JARDIN DE INFANTES Nº944 "JUAN RAMON JIMENEZ"                    LA PLATA                               JARDÍN DE INFANTES
0001JI0945    JARDIN DE INFANTES Nº945                                         EL PELIGRO                             JARDÍN DE INFANTES
0001JI0946    JARDIN DE INFANTES Nº946 "MARINA MARGARITA RAVIOLI"              City Bell                              JARDÍN DE INFANTES
